City,Country,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tulsa,United States,Tulsa,Tulsa,36.1284,-95.9042,United States,US,USA,Oklahoma,,671033.0,1840021672.0
Oklahoma City,United States,Oklahoma City,Oklahoma City,35.4676,-97.5136,United States,US,USA,Oklahoma,admin,972943.0,1840020428.0
Iowa City,United States,Iowa City,Iowa City,41.6559,-91.5303,United States,US,USA,Iowa,,118041.0,1840000532.0
Indianapolis,United States,Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,Indiana,admin,1588961.0,1840030084.0
Montpelier,United States,Montpelier,Montpelier,44.2658,-72.5717,United States,US,USA,Vermont,admin,7372.0,1840002187.0
Concord,United States,Concord,Concord,37.9722,-122.0016,United States,US,USA,California,,652308.0,1840018905.0
Concord,United States,Concord,Concord,35.3933,-80.6366,United States,US,USA,North Carolina,,261801.0,1840014559.0
Concord,United States,Concord,Concord,43.2305,-71.5595,United States,US,USA,New Hampshire,admin,43627.0,1840002747.0
Concord,United States,Concord,Concord,42.462,-71.3639,United States,US,USA,Massachusetts,,19116.0,1840053635.0
Concord,United States,Concord,Concord,38.5117,-90.3574,United States,US,USA,Missouri,,17912.0,1840006126.0
Concord,United States,Concord,Concord,39.8741,-75.5135,United States,US,USA,Pennsylvania,,17745.0,1840152841.0
Concord,United States,Concord,Concord,42.545,-78.7075,United States,US,USA,New York,,8484.0,1840058009.0
Ames,United States,Ames,Ames,42.0259,-93.6215,United States,US,USA,Iowa,,67910.0,1840007019.0
Kherson,Ukraine,Kherson,Kherson,46.6333,32.6,Ukraine,UA,UKR,Khersons’ka Oblast’,admin,291428.0,1804514036.0
Mariupol,Ukraine,Mariupol,Mariupol,47.1306,37.5639,Ukraine,UA,UKR,Donets’ka Oblast’,,449498.0,1804630021.0
Valencia,Venezuela,Valencia,Valencia,10.1667,-68.0,Venezuela,VE,VEN,Carabobo,admin,1484430.0,1862309871.0
